g24_option_1,g24_option_2,g24_option_3,g24_option_4,g24_option_5,g24_option_6,g24_option_7,g24_option_8,g24_option_9,g24_option_10,g24_option_11,g24_option_12,g24_option_13
Antonella Ainzúa,Lucas Chicao,Diego Jesús Olivares Pérez,Sebastian Mena,Edgardo Jara,Kamila Salas,Benjamín Rojas,Anabelee Araneda,Eolo Fernández Riquelme,Carlos Rico,Nulo,Blanco,Jesus Quero
Anabelee Araneda,Sebastian Mena,Antonella Ainzúa,Eolo Fernández Riquelme,Lucas Chicao,Benjamín Rojas,Jesus Quero,Kamila Salas,Edgardo Jara,Diego Jesús Olivares Pérez,Carlos Rico,Nulo,Blanco
Antonella Ainzúa,Lucas Chicao,Nulo,Carlos Rico,Blanco,Eolo Fernández Riquelme,Anabelee Araneda,Jesus Quero,Benjamín Rojas,Kamila Salas,Edgardo Jara,Sebastian Mena,Diego Jesús Olivares Pérez
Lucas Chicao,Antonella Ainzúa,Jesus Quero,Benjamín Rojas,Kamila Salas,Sebastian Mena,Diego Jesús Olivares Pérez,Anabelee Araneda,Eolo Fernández Riquelme,Carlos Rico,Nulo,Blanco,Edgardo Jara
Anabelee Araneda,Antonella Ainzúa,Benjamín Rojas,Sebastian Mena,Diego Jesús Olivares Pérez,Edgardo Jara,Kamila Salas,Jesus Quero,Lucas Chicao,Eolo Fernández Riquelme,Carlos Rico,Nulo,Blanco
Anabelee Araneda,Benjamín Rojas,Antonella Ainzúa,Sebastian Mena,Diego Jesús Olivares Pérez,Kamila Salas,Edgardo Jara,Jesus Quero,Lucas Chicao,Eolo Fernández Riquelme,Carlos Rico,Nulo,Blanco
Anabelee Araneda,Sebastian Mena,Antonella Ainzúa,Benjamín Rojas,Lucas Chicao,Diego Jesús Olivares Pérez,Kamila Salas,Jesus Quero,Carlos Rico,Nulo,Edgardo Jara,Eolo Fernández Riquelme,Blanco
Antonella Ainzúa,Anabelee Araneda,Diego Jesús Olivares Pérez,Sebastian Mena,Edgardo Jara,Kamila Salas,Benjamín Rojas,Jesus Quero,Lucas Chicao,Nulo,Eolo Fernández Riquelme,Blanco,Carlos Rico
Antonella Ainzúa,Sebastian Mena,Kamila Salas,Jesus Quero,Edgardo Jara,Diego Jesús Olivares Pérez,Eolo Fernández Riquelme,Benjamín Rojas,Carlos Rico,Lucas Chicao,Anabelee Araneda,Nulo,Blanco
Benjamín Rojas,Antonella Ainzúa,Sebastian Mena,Anabelee Araneda,Kamila Salas,Carlos Rico,Eolo Fernández Riquelme,Edgardo Jara,Diego Jesús Olivares Pérez,Jesus Quero,Lucas Chicao,Blanco,Nulo
